"","Subzone","Total","BuddhismTaoism","Islam","Christianity"
"1","Ang Mo Kio",157200,78800,13900,31000
"2","Bedok",235900,92400,42700,51900
"3","Bishan",76300,29000,2800,23100
"4","Bukit Batok",120100,52900,15200,24000
"5","Bukit Merah",132500,63700,11300,24600
"6","Bukit Panjang",119600,57700,19500,17300
"7","Bukit Timah",59100,13700,700,28000
"8","Choa Chu Kang",149300,64300,26100,22000
"9","Clementi",72700,28800,8200,17000
"10","Geylang",92400,41100,14400,14800
"11","Hougang",184600,91300,16000,35200
"12","Jurong East",70600,29000,13800,9500
"13","Jurong West",235100,114000,40800,23300
"14","Kallang",84800,37000,7600,15200
"15","Marine Parade",35900,10000,3200,11200
"16","Novena",37200,13900,2600,10400
"17","Outram",17400,7600,1900,2900
"18","Pasir Ris",119400,40200,25900,26400
"19","Punggol",82900,36400,8500,15100
"20","Queenstown",81800,32400,8200,20400
"21","Sembawang",64900,27800,8800,12300
"22","Sengkang",177800,87600,19200,26200
"23","Serangoon",109400,43600,7400,30000
"24","Tampines",231700,90800,54500,39300
"25","Tanglin",14400,3300,300,6000
"26","Toa Payoh",107900,47700,8200,24600
"27","Woodlands",201900,87600,46100,25500
"28","Yishun",172300,80500,30900,20900
